 2019年09月20日海域教育预报
 
名称            浪高（米）     视程（公里）          提示
大连海域            0.1           1             适宜海上游览
烟台海域            1           2             适宜海上游览

秦皇岛海域          1           3             适宜海上游览
天津海域            1           4             适宜海上游览

青岛海域            1           5             适宜海上游览
连云港海域          1           6             适宜海上游览

上海海域            0.5           7              适宜海上游览
舟山海域            0.3           8              适宜海上游览

宁波海域            2           9             不适宜海上游览
温州海域            3           1             不适宜海上游览

福州海域            2           2             不适宜海上游览
平潭海域            2           3             不适宜海上游览

厦门海域            2           4             不适宜海上游览
汕头海域            2           5             不适宜海上游览

深圳海域            2           6             不适宜海上游览
珠海海域            3           7             不适宜海上游览

北海海域            4           8             不适宜海上游览
海口海域            3           1             不适宜海上游览
三亚海域            3           2             不适宜海上游览
