  2020年02月29日发布海洋预报
 
名称            浪高（m）
大连海域          -999999.0       
秦皇岛海域        -999999.0       
天津海域          -999999.0       
烟台海域          -999999.0       

青岛海域          -999999.0       
日照海域          -999999.0       
连云港海域        -999999.0       
上海海域          -999999.0       

宁波海域          -999999.0       
台州海域          -999999.0       
温州海域          -999999.0       
宁德海域          -999999.0       

福州海域          -999999.0       
厦门海域          -999999.0       
汕头海域          -999999.0       
深圳海域          -999999.0       

防城港海域        -999999.0       
北海海域          -999999.0       
海口海域          -999999.0       
三亚海域          -999999.0       

觉华岛            1.0       
长岛              -999999.0       
连岛              -999999.0       
嵊泗列岛          -999999.0       

南麂岛            -999999.0       
钓鱼岛            -999999.0       
湄洲岛            -999999.0       
上川岛            -999999.0       

涠洲岛            -999999.0       
永兴岛            -999999.0       
黄岩岛            -999999.0       
永暑礁            -999999.0       
