  2020年02月29日发布海洋预报
 
名称              浪高（m）
大连海域          -999999.0,-999999.0,-999999.0
秦皇岛海域        -999999.0,-999999.0,-999999.0
天津海域          -999999.0
烟台海域          -999999.0
青岛海域          -999999.0,-999999.0,-999999.0
日照海域          -999999.0

连云港海域        -999999.0
济州岛            -999999.0,-999999.0,-999999.0
上海海域          -999999.0
舟山海域          -999999.0
温州海域          -999999.0
冲绳              -999999.0,-999999.0,-999999.0

平潭海域          -999999.0
基隆              -999999.0,-999999.0,-999999.0
厦门海域          -999999.0,-999999.0,-999999.0
高雄              -999999.0
汕头海域          -999999.0
香港              -999999.0,-999999.0,-999999.0

澳门              -999999.0
阳江              -999999.0
北海海域          -999999.0
海口海域          -999999.0
三亚海域          -999999.0,-999999.0,-999999.0
三沙              -999999.0

钓鱼岛            -999999.0,-999999.0,-999999.0
澎湖列岛          -999999.0,-999999.0,-999999.0
